jahr,stadtteil,kfz_ins,krad,pkw_ins,pkw_privat,pkw_gewerb,nutz,anhaenger,ew_ins
2012,Brunswik,2497,162,2191,1932,259,144,116,6354
2012,Düsternbrook,1909,72,1745,1379,366,92,193,2987
2012,Blücherplatz,4916,329,4409,4252,157,178,254,10989
2012,Wik,9050,592,7983,7500,483,475,546,18699
2012,Ravensberg,4995,297,4184,3538,646,514,466,11955
2012,Schreventeich,6229,358,5358,3697,1661,513,295,11686
2012,Südfriedhof,6115,450,5257,4506,751,408,375,14692
2012,Gaarden-Ost,4537,227,3742,3148,594,568,502,16500
2012,Gaarden-Süd/Kronsburg,5434,406,4599,4089,510,429,481,10454
2012,Hassee,6751,475,5452,4613,839,824,765,12149
2012,Hasseldieksdamm,2258,127,1665,1346,319,466,335,2783
2012,Ellerbek,2539,200,2238,2215,23,101,201,5818
2012,Wellingdorf,3919,278,3382,3084,298,259,379,8028
2012,Holtenau,2929,200,2653,2596,57,76,227,5222
2012,Pries,3621,331,3199,3173,26,91,319,7247
2012,Friedrichsort,1026,88,899,807,92,39,71,2144
2012,Neumühlen/Dietrichsdorf,4824,401,4256,4175,81,167,401,11920
2012,Elmschenhagen,9135,808,8017,7865,152,310,842,17152
2012,Suchsdorf,5721,328,5095,4519,576,298,314,9449
2012,Schilksee,3181,159,2925,2809,116,97,301,5126
2012,Mettenhof,7025,353,6482,6207,275,190,321,19146
2012,Russee,4324,325,3875,3819,56,124,320,7160
2012,Meimersdorf,1627,139,1421,1420,1,67,154,2967
2012,Moorsee,1637,130,1178,946,232,329,264,1822
2012,Wellsee,4849,230,3060,2424,636,1559,459,5098
2012,Rönne,326,35,267,266,1,24,54,418
2012,Kiel,117720,7806,101101,90178,10923,8813,9352,239320
2011,Altstadt,765,16,685,280,405,64,44,611
2011,Vorstadt,1535,33,1383,485,898,119,79,1087
2011,Exerzierplatz,2594,184,2258,1994,264,152,172,6308
2011,Damperhof,1452,70,1265,1043,222,117,85,3207
2011,Brunswik,2461,153,2162,1917,245,146,115,6263
2011,Düsternbrook,1828,69,1675,1372,303,84,184,2975
2011,Blücherplatz,4838,332,4335,4187,148,171,250,10853
2011,Wik,8835,581,7779,7290,489,475,537,18383
2011,Ravensberg,4948,293,4146,3475,671,509,465,11760
2011,Schreventeich,6313,357,5375,3717,1658,581,315,11517
2011,Südfriedhof,6017,441,5141,4523,618,435,370,14511
2011,Gaarden-Ost,4522,218,3754,3173,581,550,326,16386
2011,Gaarden-Süd/Kronsburg,5375,408,4549,4061,488,418,464,10393
2011,Hassee,6523,465,5306,4558,748,752,726,12082
2011,Hasseldieksdamm,2235,136,1654,1352,302,445,311,2767
2011,Ellerbek,2531,198,2239,2215,24,94,198,5793
2011,Wellingdorf,3827,273,3296,3005,291,258,368,7979
2011,Holtenau,2884,201,2605,2548,57,78,219,5212
2011,Pries,3612,324,3188,3161,27,100,309,7291
2011,Friedrichsort,1025,84,898,806,92,43,71,2159
2011,Neumühlen/Dietrichsdorf,4805,387,4247,4177,70,171,398,11866
2011,Elmschenhagen,8938,791,7831,7698,133,316,858,17240
2011,Suchsdorf,5427,328,4929,4462,467,170,303,9451
2011,Schilksee,3183,156,2932,2816,116,95,296,5181
2011,Mettenhof,6937,344,6423,6150,273,170,325,19028
2011,Russee,4278,335,3825,3768,57,118,322,7173
2011,Meimersdorf,1558,139,1354,1352,2,65,145,2828
2011,Moorsee,1577,124,1136,906,230,317,253,1769
2011,Wellsee,4915,217,3067,2448,619,1631,410,5083
2011,Rönne,330,34,270,269,1,26,56,428
2011,Kiel,116090,7693,99725,89221,10504,8672,8978,237584
